날짜,년,월,도시,행정구역,단지명,전용면적_㎡,층,건축년도,경과년수,거래유형,거래금액_만원,만원_per_㎡
2023-01-26,2023,1,제주시,외도일동,더펠리스10차,61.3849,2,2023,0.0,중개거래,35500,578.3181205801427
2023-01-26,2023,1,제주시,연동,제원3차,55.07,4,1979,44.0,중개거래,39200,711.8213183221354
2023-01-26,2023,1,제주시,이호이동,이호재영샤르빌13차,84.89,7,2018,5.0,중개거래,36000,424.0782188714807
2023-01-27,2023,1,제주시,도두일동,블루파크시티,49.2072,12,2018,5.0,직거래,39000,792.5669414232063
2023-01-27,2023,1,제주시,이호이동,성지휴캐슬,82.581,7,2017,6.0,중개거래,31000,375.38901200033905
2023-01-27,2023,1,서귀포시,중문동,중문푸른마을,51.88,3,2003,20.0,중개거래,21400,412.49036237471086
2023-01-27,2023,1,제주시,화북일동,대림맨션,81.03,4,1991,32.0,직거래,14000,172.77551524126866
2023-01-27,2023,1,서귀포시,동홍동,동홍동센트레빌,59.8882,6,2021,2.0,중개거래,36000,601.1200870956216
2023-01-27,2023,1,서귀포시,서홍동,프리미엄성보파크,81.0695,2,2019,4.0,직거래,25000,308.37737990242937
2023-01-27,2023,1,제주시,일도이동,일도1차대림,77.02,2,1994,29.0,중개거래,43500,564.7883666580109
2023-01-27,2023,1,제주시,조천읍,일이삼타운,69.3757,4,2017,6.0,직거래,18000,259.4568415165541
2023-01-27,2023,1,제주시,화북일동,화북주공4단지,49.5,4,1998,25.0,중개거래,27500,555.5555555555555
2023-01-27,2023,1,제주시,일도이동,일도1차대림,77.02,2,1994,29.0,중개거래,40000,519.3456245131135
2023-01-28,2023,1,제주시,도남동,도남해모로리치힐아파트,84.9753,8,2019,4.0,중개거래,69500,817.8847265028778
2023-01-28,2023,1,서귀포시,서호동,제주서귀포혁신도시엘에이치1단지,84.94,7,2013,10.0,중개거래,38500,453.2611255003532
2023-01-28,2023,1,제주시,화북이동,제주삼화엘에이치2단지,84.95,3,2014,9.0,중개거래,64500,759.27015891701
2023-01-28,2023,1,제주시,외도일동,더펠리스10차,69.0372,8,2023,0.0,중개거래,37300,540.2884242118741
2023-01-28,2023,1,서귀포시,동홍동,제이원타워,15.2,7,2015,8.0,중개거래,5600,368.42105263157896
2023-01-28,2023,1,서귀포시,강정동,제주강정유승한내들퍼스트오션,84.991,5,2017,6.0,중개거래,59500,700.0741254956407
2023-01-28,2023,1,제주시,용담삼동,용두암현대1,67.32,5,1991,32.0,중개거래,24800,368.38978015448606
2023-01-29,2023,1,제주시,외도일동,해마루풍경101동,84.9898,9,2013,10.0,중개거래,33500,394.16494685244584
2023-01-30,2023,1,제주시,외도일동,외도부영1차,59.933,10,2000,23.0,중개거래,27000,450.5030617522901
2023-01-30,2023,1,제주시,일도이동,혜성대유,59.82,6,1995,28.0,중개거래,28000,468.0708793045804
2023-01-30,2023,1,제주시,외도일동,핀크스,139.01,3,2007,16.0,중개거래,40000,287.7490827997986
2023-01-30,2023,1,제주시,연동,동서드림,84.41,4,2004,19.0,중개거래,28000,331.71425186589266
2023-01-30,2023,1,제주시,연동,동서드림,84.41,4,2004,19.0,중개거래,28000,331.71425186589266
2023-01-30,2023,1,서귀포시,강정동,다온빌,27.68,6,2016,7.0,중개거래,11000,397.39884393063585
2023-01-30,2023,1,제주시,노형동,유나이티드,42.75,4,1984,39.0,중개거래,17500,409.3567251461988
2023-01-30,2023,1,서귀포시,서홍동,지오빌II,84.65,5,2011,12.0,직거래,36500,431.18724158298875
2023-01-30,2023,1,제주시,이도이동,동남한올레,83.81,4,2010,13.0,중개거래,43500,519.0311418685121
2023-01-30,2023,1,서귀포시,서귀동,루체빌,76.18,10,2015,8.0,직거래,27500,360.987135731163
2023-01-30,2023,1,제주시,외도일동,더펠리스10차,61.3849,6,2023,0.0,중개거래,35400,576.6890554517479
2023-01-31,2023,1,제주시,한림읍,회성푸르니5차,72.8309,6,2015,8.0,직거래,26200,359.7374191448959
2023-01-31,2023,1,제주시,일도이동,유피테르,84.53,7,2022,1.0,직거래,44000,520.5252573050988
2023-01-31,2023,1,제주시,연동,예그린하우스텔,23.5425,11,2011,12.0,중개거래,7200,305.82988212806623
2023-01-31,2023,1,서귀포시,동홍동,대림이편한세상,84.978,5,2001,22.0,중개거래,35800,421.28550919061405
2023-01-31,2023,1,제주시,외도일동,해밀마루,47.71,8,2019,4.0,중개거래,22000,461.1192622091805
2023-01-31,2023,1,제주시,외도일동,노블레스,141.95,10,2013,10.0,중개거래,46500,327.5801338499472
2023-01-31,2023,1,제주시,도남동,수선화(70)1차,53.89,4,1992,31.0,중개거래,21000,389.68268695490815
2023-01-31,2023,1,제주시,연동,연동엘리시아3차,53.65,14,2013,10.0,중개거래,27000,503.2618825722274
2023-01-31,2023,1,제주시,노형동,노형2차아이파크,115.1601,6,2014,9.0,중개거래,114000,989.9261983968406
2023-01-31,2023,1,제주시,도두일동,블루파크시티,49.2072,12,2018,5.0,중개거래,39000,792.5669414232063
2023-01-31,2023,1,제주시,도남동,도남시영,44.28,4,1990,33.0,중개거래,13000,293.5862691960253
2023-02-01,2023,2,제주시,연동,연동이화,65.33,7,1994,29.0,직거래,20850,319.1489361702128
2023-02-01,2023,2,서귀포시,동홍동,주공5차(동홍5차),49.87,4,1999,24.0,중개거래,19800,397.03228393823946
2023-02-01,2023,2,제주시,일도이동,일도2차신천지,59.98,1,1994,29.0,중개거래,29500,491.83061020340114
2023-02-01,2023,2,제주시,조천읍,함덕천마에코피아,44.6269,5,2018,5.0,중개거래,16500,369.7321570622203
2023-02-01,2023,2,제주시,노형동,부영5차,84.9508,12,2001,22.0,중개거래,66800,786.3375035903134
2023-02-01,2023,2,제주시,일도이동,부양장미1차,59.16,1,1993,30.0,중개거래,16500,278.90466531440165
2023-02-01,2023,2,서귀포시,동홍동,주공5차(동홍5차),49.87,4,1999,24.0,중개거래,19800,397.03228393823946
2023-02-01,2023,2,제주시,봉개동,봉개갤럭시타운1차,77.5619,5,2016,7.0,중개거래,31500,406.12723515024777
2023-02-01,2023,2,제주시,노형동,탐라빌,59.58,1,2001,22.0,중개거래,22000,369.2514266532394
2023-02-02,2023,2,제주시,도련이동,제주삼화사랑으로부영1차,84.3616,6,2013,10.0,중개거래,50000,592.6867200242765
2023-02-02,2023,2,서귀포시,동홍동,주공2(동홍2),47.01,1,1990,33.0,중개거래,18000,382.8972559029994
2023-02-02,2023,2,서귀포시,동홍동,센트럴팰리스,18.44,8,2018,5.0,중개거래,9700,526.0303687635575
2023-02-02,2023,2,제주시,화북이동,벨루스타운Ⅲ,79.33,4,2018,5.0,직거래,33100,417.2444220345393
2023-02-02,2023,2,제주시,도련이동,제주삼화사랑으로부영1차,84.3616,6,2013,10.0,중개거래,50000,592.6867200242765
2023-02-03,2023,2,서귀포시,강정동,한빛테크놀즈103동,55.2093,5,2001,22.0,중개거래,12500,226.41113000889342
2023-02-03,2023,2,서귀포시,동홍동,제이원타워,15.2,6,2015,8.0,중개거래,6400,421.0526315789474
2023-02-03,2023,2,제주시,노형동,세기7차,59.83,5,1996,27.0,중개거래,19000,317.5664382416848
2023-02-03,2023,2,서귀포시,강정동,윙스스카이,15.86,6,2012,11.0,중개거래,5000,315.2585119798235
2023-02-03,2023,2,제주시,애월읍,제주하귀휴먼시아1단지,84.72,4,2010,13.0,중개거래,40000,472.14353163361665
2023-02-04,2023,2,제주시,용담일동,용담조양상떼빌,78.85,7,2004,19.0,중개거래,18500,234.6227013316424
2023-02-04,2023,2,서귀포시,동홍동,동홍반석아르미,73.2642,2,2003,20.0,중개거래,19000,259.3353916373891
