날짜,가격_만원
2023-05-15,110000
2023-05-15,33000
2023-05-15,6600
2023-05-16,21000
2023-05-16,51000
2023-05-16,24700
2023-05-16,41000
2023-05-16,27400
2023-05-16,54000
2023-05-17,21700
2023-05-17,30500
2023-05-17,22000
2023-05-17,21000
2023-05-17,30000
2023-05-17,17700
2023-05-18,102000
2023-05-18,21000
2023-05-18,36500
2023-05-18,11500
2023-05-18,28000
2023-05-19,63000
2023-05-19,40000
2023-05-19,15100
2023-05-19,7200
2023-05-19,27300
2023-05-19,20000
2023-05-19,15200
2023-05-19,28300
2023-05-19,33000
2023-05-19,28000
2023-05-20,52000
2023-05-20,43800
2023-05-20,32000
2023-05-20,32000
2023-05-22,28500
2023-05-22,9500
2023-05-22,23500
2023-05-22,22700
2023-05-22,26500
2023-05-22,33500
2023-05-22,70000
2023-05-22,12400
2023-05-23,24000
2023-05-23,23500
2023-05-23,8400
2023-05-23,56900
2023-05-23,27000
2023-05-23,80000
2023-05-23,25000
2023-05-23,6500
2023-05-23,39600
2023-05-23,118000
2023-05-24,54000
2023-05-24,42000
2023-05-24,33500
2023-05-24,9000
2023-05-24,29000
2023-05-24,63000
2023-05-24,8500
2023-05-24,50000
2023-05-24,43500
2023-05-24,26500
2023-05-24,63000
2023-05-25,16400
2023-05-25,33000
2023-05-25,51000
2023-05-25,70000
2023-05-25,32000
2023-05-26,62000
2023-05-26,36000
2023-05-26,6850
2023-05-26,61000
2023-05-26,29000
2023-05-26,75500
2023-05-27,50000
2023-05-27,50500
2023-05-27,70400
2023-05-27,22000
2023-05-27,53000
2023-05-28,39500
2023-05-28,39000
2023-05-29,26500
2023-05-29,39500
2023-05-29,28500
2023-05-29,27000
2023-05-29,48500
2023-05-29,28500
2023-05-30,29300
2023-05-30,75000
2023-05-30,23500
2023-05-30,41500
2023-05-30,39800
2023-05-30,35000
2023-05-30,56500
2023-05-31,22000
2023-05-31,15500
2023-05-31,51400
2023-05-31,25700
2023-05-31,37000
2023-05-31,22000
2023-06-01,12800
2023-06-01,20600
2023-06-01,20800
2023-06-01,45800
2023-06-01,31500
2023-06-01,30500
2023-06-01,17000
2023-06-02,36000
2023-06-02,11800
2023-06-02,11800
2023-06-02,14000
2023-06-02,50000
2023-06-02,18500
2023-06-02,21000
2023-06-03,52300
2023-06-03,40500
2023-06-03,35500
2023-06-03,34800
2023-06-04,60000
2023-06-05,26600
2023-06-05,82500
2023-06-05,11100
2023-06-05,82500
2023-06-05,60000
2023-06-05,21000
2023-06-05,40000
2023-06-05,34800
2023-06-06,13900
2023-06-06,49000
2023-06-06,51500
2023-06-07,45000
2023-06-07,4500
2023-06-07,54000
2023-06-07,29300
2023-06-07,48000
2023-06-07,33300
2023-06-08,16000
2023-06-08,11800
2023-06-08,65000
2023-06-09,25000
2023-06-09,6500
2023-06-10,25700
2023-06-10,6000
2023-06-10,35000
2023-06-10,34500
2023-06-10,30000
2023-06-10,30000
2023-06-10,53500
2023-06-10,36000
2023-06-11,55000
2023-06-11,55000
2023-06-12,33500
2023-06-12,22000
2023-06-12,50500
2023-06-12,23500
2023-06-12,19000
2023-06-12,58250
2023-06-13,80000
2023-06-13,26400
2023-06-13,19300
2023-06-13,41000
2023-06-13,16200
2023-06-13,20000
2023-06-14,19500
2023-06-14,33700
2023-06-14,32000
2023-06-14,27000
2023-06-14,27000
2023-06-14,57500
2023-06-14,30000
2023-06-14,27000
2023-06-14,17000
2023-06-14,23000
2023-06-15,62300
2023-06-15,43500
2023-06-15,62300
2023-06-15,52450
2023-06-15,52000
2023-06-15,23700
2023-06-15,23400
2023-06-15,50000
2023-06-15,25000
2023-06-15,89000
2023-06-15,27000
2023-06-16,11000
2023-06-16,17300
2023-06-16,50600
2023-06-16,18000
2023-06-16,23000
2023-06-16,25500
2023-06-16,43572
2023-06-16,35000
2023-06-17,19800
2023-06-17,34000
2023-06-17,32000
2023-06-17,40000
2023-06-17,51700
2023-06-17,51700
2023-06-18,27000
2023-06-19,35000
2023-06-19,32000
2023-06-19,47000
2023-06-19,30000
2023-06-19,11500
2023-06-19,16100
2023-06-19,35000
2023-06-19,9200
2023-06-19,23000
2023-06-19,11500
2023-06-20,8800
2023-06-20,9200
2023-06-20,59000
2023-06-20,38650
2023-06-20,36700
2023-06-21,30000
2023-06-21,12500
2023-06-21,11600
2023-06-21,41000
2023-06-21,93000
2023-06-21,11600
2023-06-21,12000
2023-06-21,60000
2023-06-22,72000
2023-06-22,14700
2023-06-22,11800
2023-06-22,24000
2023-06-22,14500
2023-06-23,33500
2023-06-23,25000
2023-06-23,47500
2023-06-24,55000
2023-06-24,100000
2023-06-26,13157
2023-06-26,13157
2023-06-26,13705
2023-06-26,13855
2023-06-26,13500
2023-06-26,13855
2023-06-26,13406
2023-06-26,13157
2023-06-26,12609
2023-06-26,13157
2023-06-26,12609
2023-06-26,13157
2023-06-26,13705
2023-06-26,13107
2023-06-26,13157
2023-06-26,13107
2023-06-26,13157
2023-06-26,13955
2023-06-26,12609
2023-06-26,13306
2023-06-26,13705
2023-06-26,8000
2023-06-26,10000
2023-06-26,12609
2023-06-26,13955
2023-06-26,13705
2023-06-27,22000
2023-06-27,25000
2023-06-27,49000
2023-06-27,45000
2023-06-27,29300
2023-06-27,32750
2023-06-27,6200
2023-06-27,49500
2023-06-27,14000
2023-06-28,36500
2023-06-28,36500
2023-06-29,30000
2023-06-29,31000
2023-06-29,19500
2023-06-29,26000
2023-06-29,24900
