날짜,가격_만원,전용면적_㎡,행정구역,단가_만원_per_㎡
2023-03-02,13000,74.43,제주시,174.6607550718796
2023-03-02,36000,69.0372,제주시,521.4579965583772
2023-03-02,27800,83.14,서귀포시,334.37575174404617
2023-03-02,35000,84.65,서귀포시,413.4672179562906
2023-03-02,42250,84.94,서귀포시,497.40993642571226
2023-03-02,26500,69.4983,제주시,381.30429089632406
2023-03-02,39000,84.97,애월읍,458.98552430269507
2023-03-03,28000,105.32,제주시,265.8564375237372
2023-03-03,51500,84.9297,서귀포시,606.3838680697095
2023-03-03,38500,146.0,제주시,263.6986301369863
2023-03-03,20700,67.7585,제주시,305.4967273478604
2023-03-03,14000,49.9626,서귀포시,280.2095967783902
2023-03-03,84000,106.64,제주시,787.6969242310578
2023-03-04,57000,59.953,제주시,950.7447500542091
2023-03-04,19250,39.69,서귀포시,485.0088183421517
2023-03-04,15000,59.8944,서귀포시,250.440775765347
2023-03-05,21500,72.1225,제주시,298.1039204131859
2023-03-06,20800,59.54,제주시,349.34497816593887
2023-03-06,25000,84.983,제주시,294.1764823552946
2023-03-06,7500,24.44,제주시,306.873977086743
2023-03-06,51000,84.9297,서귀포시,600.4966460496152
2023-03-06,44800,84.991,서귀포시,527.114635667306
2023-03-06,53000,59.56,제주시,889.8589657488246
2023-03-06,26000,71.62,제주시,363.0270874057526
2023-03-06,8500,64.41,서귀포시,131.96708585623352
2023-03-06,19500,83.42,제주시,233.75689283145527
2023-03-06,18000,42.75,제주시,421.05263157894734
2023-03-07,26500,80.72,제주시,328.29534192269574
2023-03-07,26500,80.72,제주시,328.29534192269574
2023-03-07,40000,84.9873,제주시,470.65855721972576
2023-03-07,27000,84.4325,제주시,319.78207443816063
2023-03-07,23000,83.36,제주시,275.91170825335894
2023-03-07,80000,84.9635,제주시,941.5807964596562
2023-03-07,26500,80.72,제주시,328.29534192269574
2023-03-07,23500,73.9403,안덕면,317.82397420621777
2023-03-07,101200,175.71,제주시,575.9490068863468
2023-03-07,42000,84.72,애월읍,495.75070821529744
2023-03-08,45000,84.67,애월읍,531.475138774064
2023-03-08,50500,84.9297,서귀포시,594.6094240295209
2023-03-08,51500,74.83,제주시,688.2266470666844
2023-03-08,68000,75.05,제주시,906.0626249167223
2023-03-08,20500,71.5531,제주시,286.5005150021453
2023-03-08,55000,59.56,제주시,923.4385493619878
2023-03-08,33000,84.88,제주시,388.7841658812441
2023-03-08,15700,49.9626,서귀포시,314.23504781576617
2023-03-09,40000,139.01,제주시,287.7490827997986
2023-03-09,44000,84.8714,제주시,518.4314150585475
2023-03-09,15700,26.94,서귀포시,582.776540460282
2023-03-09,15700,35.49,서귀포시,442.378134685827
2023-03-09,15700,26.94,서귀포시,582.776540460282
2023-03-09,36000,84.9213,서귀포시,423.9219135835179
2023-03-09,44000,84.8714,제주시,518.4314150585475
2023-03-09,19700,46.59,제주시,422.8375187808542
2023-03-09,5550,15.2,서귀포시,365.13157894736844
2023-03-10,58000,75.7,제주시,766.1822985468956
2023-03-10,63000,84.991,서귀포시,741.2549564071489
2023-03-10,20700,49.87,서귀포시,415.0792059354321
2023-03-10,21000,49.87,서귀포시,421.09484660116306
2023-03-10,63000,84.991,서귀포시,741.2549564071489
2023-03-10,31500,45.9078,제주시,686.1579078065165
2023-03-10,17400,68.46,제주시,254.16301489921125
2023-03-10,33000,84.7576,제주시,389.3456162043286
2023-03-10,32000,49.2072,제주시,650.3113365523744
2023-03-10,84000,120.9434,제주시,694.5397599207563
2023-03-10,17400,68.46,제주시,254.16301489921125
2023-03-11,19000,35.49,서귀포시,535.3620738236123
2023-03-12,27500,49.5,제주시,555.5555555555555
2023-03-12,27500,49.5,제주시,555.5555555555555
2023-03-12,15600,57.9224,제주시,269.32585666339793
2023-03-12,30500,84.63,서귀포시,360.3922958761669
2023-03-13,17000,35.49,서귀포시,479.0081713158636
2023-03-13,19800,56.75,대정읍,348.89867841409693
2023-03-13,14500,69.43,제주시,208.84343943540253
2023-03-13,18000,81.031,대정읍,222.13720674803469
2023-03-13,31000,84.91,제주시,365.0924508302909
2023-03-13,8200,31.2994,서귀포시,261.98585276395073
2023-03-13,10700,36.6461,서귀포시,291.98195715233004
2023-03-13,22000,84.75,제주시,259.58702064896755
2023-03-14,32500,84.97,제주시,382.48793691891257
2023-03-14,29000,60.1435,서귀포시,482.1801192148777
2023-03-14,19500,56.75,대정읍,343.61233480176213
2023-03-14,12700,82.56,서귀포시,153.82751937984494
2023-03-14,35900,45.9078,제주시,782.0021869921886
2023-03-15,26500,80.72,제주시,328.29534192269574
2023-03-15,17500,59.7,제주시,293.1323283082077
2023-03-15,50000,84.9297,서귀포시,588.7222020094266
2023-03-15,34000,82.53,제주시,411.9714043378165
